,module name,input shape,output_shape,parameters,infer memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration
0,conv1,"torch.Size([1, 3, 224, 224])","torch.Size([1, 64, 112, 112])","1,728",3.0625,"42,549,248","21,676,032","609,024","3,211,264",0.0024433135986328125
1,bn1,"torch.Size([1, 64, 112, 112])","torch.Size([1, 64, 112, 112])",128,3.0625,"3,211,264","1,605,632","3,211,776","3,211,264",0.0013020038604736328
2,conv2,"torch.Size([1, 64, 112, 112])","torch.Size([1, 64, 56, 56])","36,864",0.765625,"231,010,304","115,605,504","3,358,720","802,816",0.0016717910766601562
3,bn2,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])",128,0.765625,"802,816","401,408","803,328","802,816",0.00018143653869628906
4,relu,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])",0,0.765625,"200,704","200,704","802,816","802,816",3.62396240234375e-05
5,layer1.0.conv1,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])","4,096",0.765625,"25,489,408","12,845,056","819,200","802,816",0.0008103847503662109
6,layer1.0.bn1,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])",128,0.765625,"802,816","401,408","803,328","802,816",0.00037479400634765625
7,layer1.0.conv2,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])","36,864",0.765625,"231,010,304","115,605,504","950,272","802,816",0.0012187957763671875
8,layer1.0.bn2,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])",128,0.765625,"802,816","401,408","803,328","802,816",0.0003790855407714844
9,layer1.0.conv3,"torch.Size([1, 64, 56, 56])","torch.Size([1, 256, 56, 56])","16,384",3.0625,"101,957,632","51,380,224","868,352","3,211,264",0.001678466796875
10,layer1.0.bn3,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",512,3.0625,"3,211,264","1,605,632","3,213,312","3,211,264",0.0004591941833496094
11,layer1.0.relu,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",0,3.0625,"802,816","802,816","3,211,264","3,211,264",4.076957702636719e-05
