,module name,input shape,output_shape,parameters,infer memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration
0,conv1,"torch.Size([1, 3, 224, 224])","torch.Size([1, 64, 112, 112])","1,728",3.0625,"42,549,248","21,676,032","609,024","3,211,264",0.0025467872619628906
1,bn1,"torch.Size([1, 64, 112, 112])","torch.Size([1, 64, 112, 112])",128,3.0625,"3,211,264","1,605,632","3,211,776","3,211,264",0.0013408660888671875
2,relu,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])",0,0.765625,"200,704","200,704","802,816","802,816",3.790855407714844e-05
3,conv2,"torch.Size([1, 64, 112, 112])","torch.Size([1, 64, 56, 56])","36,864",0.765625,"231,010,304","115,605,504","3,358,720","802,816",0.0016753673553466797
4,bn2,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])",128,0.765625,"802,816","401,408","803,328","802,816",0.00018334388732910156
5,dropblocks,[],[],0,0.0,0,0,0,0,0.0
6,layer1.0.conv1,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])","4,096",0.765625,"25,489,408","12,845,056","819,200","802,816",0.0007910728454589844
7,layer1.0.bn1,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])",128,0.765625,"802,816","401,408","803,328","802,816",0.0001595020294189453
8,layer1.0.conv2,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])","36,864",0.765625,"231,010,304","115,605,504","950,272","802,816",0.001191854476928711
9,layer1.0.bn2,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])",128,0.765625,"802,816","401,408","803,328","802,816",0.0003676414489746094
10,layer1.0.conv3,"torch.Size([1, 64, 56, 56])","torch.Size([1, 256, 56, 56])","16,384",3.0625,"101,957,632","51,380,224","868,352","3,211,264",0.0018830299377441406
11,layer1.0.bn3,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",512,3.0625,"3,211,264","1,605,632","3,213,312","3,211,264",0.00044465065002441406
12,layer1.0.relu,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",0,3.0625,"802,816","802,816","3,211,264","3,211,264",5.626678466796875e-05
13,layer1.0.downsample.0,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])",0,0.765625,"200,704","200,704","802,816","802,816",0.0010499954223632812
14,layer1.0.downsample.1,"torch.Size([1, 64, 56, 56])","torch.Size([1, 256, 56, 56])","16,384",3.0625,"101,957,632","51,380,224","868,352","3,211,264",0.0014619827270507812
15,layer1.0.downsample.2,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",512,3.0625,"3,211,264","1,605,632","3,213,312","3,211,264",0.0010764598846435547
16,layer1.1.conv1,"torch.Size([1, 256, 56, 56])","torch.Size([1, 64, 56, 56])","16,384",0.765625,"102,559,744","51,380,224","3,276,800","802,816",0.0008237361907958984
17,layer1.1.bn1,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])",128,0.765625,"802,816","401,408","803,328","802,816",0.00012493133544921875
18,layer1.1.conv2,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])","36,864",0.765625,"231,010,304","115,605,504","950,272","802,816",0.0006651878356933594
19,layer1.1.bn2,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])",128,0.765625,"802,816","401,408","803,328","802,816",0.00013136863708496094
20,layer1.1.conv3,"torch.Size([1, 64, 56, 56])","torch.Size([1, 256, 56, 56])","16,384",3.0625,"101,957,632","51,380,224","868,352","3,211,264",0.0011911392211914062
21,layer1.1.bn3,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",512,3.0625,"3,211,264","1,605,632","3,213,312","3,211,264",0.00040650367736816406
22,layer1.1.relu,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",0,3.0625,"802,816","802,816","3,211,264","3,211,264",4.935264587402344e-05
23,layer1.2.conv1,"torch.Size([1, 256, 56, 56])","torch.Size([1, 64, 56, 56])","16,384",0.765625,"102,559,744","51,380,224","3,276,800","802,816",0.0008692741394042969
24,layer1.2.bn1,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])",128,0.765625,"802,816","401,408","803,328","802,816",0.00013017654418945312
25,layer1.2.conv2,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])","36,864",0.765625,"231,010,304","115,605,504","950,272","802,816",0.0006353855133056641
26,layer1.2.bn2,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])",128,0.765625,"802,816","401,408","803,328","802,816",0.00012636184692382812
27,layer1.2.conv3,"torch.Size([1, 64, 56, 56])","torch.Size([1, 256, 56, 56])","16,384",3.0625,"101,957,632","51,380,224","868,352","3,211,264",0.0011696815490722656
28,layer1.2.bn3,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",512,3.0625,"3,211,264","1,605,632","3,213,312","3,211,264",0.0004181861877441406
29,layer1.2.relu,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",0,3.0625,"802,816","802,816","3,211,264","3,211,264",5.1021575927734375e-05
30,layer2.0.conv1,"torch.Size([1, 256, 56, 56])","torch.Size([1, 128, 56, 56])","32,768",1.53125,"205,119,488","102,760,448","3,342,336","1,605,632",0.0012712478637695312
31,layer2.0.bn1,"torch.Size([1, 128, 56, 56])","torch.Size([1, 128, 56, 56])",256,1.53125,"1,605,632","802,816","1,606,656","1,605,632",0.0006232261657714844
32,layer2.0.conv2,"torch.Size([1, 128, 56, 56])","torch.Size([1, 128, 28, 28])","147,456",0.3828125,"231,110,656","115,605,504","2,195,456","401,408",0.0010483264923095703
33,layer2.0.bn2,"torch.Size([1, 128, 28, 28])","torch.Size([1, 128, 28, 28])",256,0.3828125,"401,408","200,704","402,432","401,408",7.891654968261719e-05
