,module name,input shape,output_shape,parameters,infer memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration
0,conv1,"torch.Size([1, 3, 224, 224])","torch.Size([1, 64, 112, 112])","1,728",3.0625,"42,549,248","21,676,032","609,024","3,211,264",0.0024025440216064453
1,bn1,"torch.Size([1, 64, 112, 112])","torch.Size([1, 64, 112, 112])",128,3.0625,"3,211,264","1,605,632","3,211,776","3,211,264",0.0013225078582763672
2,relu,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])",0,0.765625,"200,704","200,704","802,816","802,816",3.6716461181640625e-05
3,conv2,"torch.Size([1, 64, 112, 112])","torch.Size([1, 64, 56, 56])","36,864",0.765625,"231,010,304","115,605,504","3,358,720","802,816",0.0016937255859375
4,bn2,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])",128,0.765625,"802,816","401,408","803,328","802,816",0.0001933574676513672
5,dropblocks,[],[],0,0.0,0,0,0,0,0.0
6,layer1.0.conv1,"torch.Size([1, 64, 56, 56])","torch.Size([1, 512, 56, 56])","32,768",6.125,"203,915,264","102,760,448","933,888","6,422,528",0.002846956253051758
7,layer1.0.bn1,"torch.Size([1, 512, 56, 56])","torch.Size([1, 512, 56, 56])","1,024",6.125,"6,422,528","3,211,264","6,426,624","6,422,528",0.002381563186645508
8,layer1.0.conv2,"torch.Size([1, 512, 56, 56])","torch.Size([1, 512, 56, 56])","36,864",6.125,"229,605,376","115,605,504","6,569,984","6,422,528",0.003015279769897461
9,layer1.0.bn2,"torch.Size([1, 512, 56, 56])","torch.Size([1, 512, 56, 56])","1,024",6.125,"6,422,528","3,211,264","6,426,624","6,422,528",0.0022568702697753906
10,layer1.0.conv3,"torch.Size([1, 512, 56, 56])","torch.Size([1, 256, 56, 56])","131,072",3.0625,"821,280,768","411,041,792","6,946,816","3,211,264",0.0025506019592285156
11,layer1.0.bn3,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",512,3.0625,"3,211,264","1,605,632","3,213,312","3,211,264",0.0004756450653076172
12,layer1.0.relu,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",0,3.0625,"802,816","802,816","3,211,264","3,211,264",4.315376281738281e-05
13,layer1.0.downsample.0,"torch.Size([1, 64, 56, 56])","torch.Size([1, 64, 56, 56])",0,0.765625,"200,704","200,704","802,816","802,816",0.0002799034118652344
14,layer1.0.downsample.1,"torch.Size([1, 64, 56, 56])","torch.Size([1, 256, 56, 56])","16,384",3.0625,"101,957,632","51,380,224","868,352","3,211,264",0.0013408660888671875
15,layer1.0.downsample.2,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",512,3.0625,"3,211,264","1,605,632","3,213,312","3,211,264",0.0011799335479736328
16,layer1.0.se.avg_pool,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 1, 1])",0,0.0009765625,0,"831,744",0,0,0.0002238750457763672
17,layer1.0.se.fc.0,"torch.Size([1, 256])","torch.Size([1, 16])","4,096",6.103515625e-05,"8,176","4,096","17,408",64,0.0001633167266845703
18,layer1.0.se.fc.1,"torch.Size([1, 16])","torch.Size([1, 16])",0,6.103515625e-05,16,16,64,64,1.5735626220703125e-05
19,layer1.0.se.fc.2,"torch.Size([1, 16])","torch.Size([1, 256])","4,096",0.0009765625,"7,936","4,096","16,448","1,024",3.147125244140625e-05
20,layer1.0.se.fc.3,"torch.Size([1, 256])","torch.Size([1, 256])",0,0.0009765625,0,0,0,0,5.817413330078125e-05
21,layer1.1.conv1,"torch.Size([1, 256, 56, 56])","torch.Size([1, 512, 56, 56])","131,072",6.125,"820,477,952","411,041,792","3,735,552","6,422,528",0.0023789405822753906
22,layer1.1.bn1,"torch.Size([1, 512, 56, 56])","torch.Size([1, 512, 56, 56])","1,024",6.125,"6,422,528","3,211,264","6,426,624","6,422,528",0.002284526824951172
23,layer1.1.conv2,"torch.Size([1, 512, 56, 56])","torch.Size([1, 512, 56, 56])","36,864",6.125,"229,605,376","115,605,504","6,569,984","6,422,528",0.0017552375793457031
24,layer1.1.bn2,"torch.Size([1, 512, 56, 56])","torch.Size([1, 512, 56, 56])","1,024",6.125,"6,422,528","3,211,264","6,426,624","6,422,528",0.000614166259765625
25,layer1.1.conv3,"torch.Size([1, 512, 56, 56])","torch.Size([1, 256, 56, 56])","131,072",3.0625,"821,280,768","411,041,792","6,946,816","3,211,264",0.0016014575958251953
26,layer1.1.bn3,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",512,3.0625,"3,211,264","1,605,632","3,213,312","3,211,264",0.00038170814514160156
27,layer1.1.relu,"torch.Size([1, 256, 56, 56])","torch.Size([1, 256, 56, 56])",0,3.0625,"802,816","802,816","3,211,264","3,211,264",2.7418136596679688e-05
